container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
362,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590451203,"['/ad-library/detail/590451203', '/ad-library/detail/590451203', '/ad-library/detail/590451203']",Nike,True,last-30-days
363,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590451203,"['/ad-library/detail/590451203', '/ad-library/detail/590451203', '/ad-library/detail/590451203']",Nike,True,last-30-days
364,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
365,Oferty pracy inżynierskiej w Goldman Sachs,Oferty pracy inżynierskiej w Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
366,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633654733,"['/ad-library/detail/633654733', '/ad-library/detail/633654733', '/ad-library/detail/633654733']",Nike,True,last-30-days
367,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633654733,"['/ad-library/detail/633654733', '/ad-library/detail/633654733', '/ad-library/detail/633654733']",Nike,True,last-30-days
368,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
369,Support Rural Small Businesses,Support Rural Small Businesses,No image found,[],Active,No link found,[],Nike,,last-30-days
370,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638908983,"['/ad-library/detail/638908983', '/ad-library/detail/638908983', '/ad-library/detail/638908983']",Nike,True,last-30-days
371,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638908983,"['/ad-library/detail/638908983', '/ad-library/detail/638908983', '/ad-library/detail/638908983']",Nike,True,last-30-days
372,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
373,Engineering roles at Goldman Sachs in Hyderabad,Engineering roles at Goldman Sachs in Hyderabad,No image found,[],Active,No link found,[],Nike,,last-30-days
374,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634057943,"['/ad-library/detail/634057943', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943', '/ad-library/detail/634057943']",Nike,True,last-30-days
375,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634057943,"['/ad-library/detail/634057943', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634057943?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634057943', '/ad-library/detail/634057943']",Nike,True,last-30-days
376,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
377,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634103223,"['/ad-library/detail/634103223', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223', '/ad-library/detail/634103223']",Nike,True,last-30-days
378,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634103223,"['/ad-library/detail/634103223', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634103223?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634103223', '/ad-library/detail/634103223']",Nike,True,last-30-days
379,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
380,Engineering roles at Goldman Sachs in Bengaluru,Promoted,No image found,[],Active,/ad-library/detail/638993593,"['/ad-library/detail/638993593', '/ad-library/detail/638993593', '/ad-library/detail/638993593']",Nike,True,last-30-days
381,Engineering roles at Goldman Sachs in Bengaluru,Promoted,No image found,[],Active,/ad-library/detail/638993593,"['/ad-library/detail/638993593', '/ad-library/detail/638993593', '/ad-library/detail/638993593']",Nike,True,last-30-days
382,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
383,Engineering roles at Goldman Sachs in Bengaluru,Engineering roles at Goldman Sachs in Bengaluru,No image found,[],Active,No link found,[],Nike,,last-30-days
384,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634058193,"['/ad-library/detail/634058193', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193', '/ad-library/detail/634058193']",Nike,True,last-30-days
385,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634058193,"['/ad-library/detail/634058193', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634058193?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634058193', '/ad-library/detail/634058193']",Nike,True,last-30-days
386,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
387,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634093313,"['/ad-library/detail/634093313', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313', '/ad-library/detail/634093313']",Nike,True,last-30-days
388,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634093313,"['/ad-library/detail/634093313', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093313?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093313', '/ad-library/detail/634093313']",Nike,True,last-30-days
389,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
