container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
787,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
788,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513450106,"['/ad-library/detail/513450106', '/ad-library/detail/513450106', '/ad-library/detail/513450106']",Nike,True,all-time
789,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513450106,"['/ad-library/detail/513450106', '/ad-library/detail/513450106', '/ad-library/detail/513450106']",Nike,True,all-time
790,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
791,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
792,Make your move with Goldman Sachs Advisor Solutions,Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D5610AQE9-GYrUF4oKQ/image-shrink_1280/image-shrink_1280/0/1726165817957/2024_GSAS_Awareness_LearnMore_English__Static__NAjpg?e=1746878400&v=beta&t=R9iZH7hIB69Q94un2bSD27AHnQMPIZm_Q8KcAlmDLhY']",Active,/ad-library/detail/512940226?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/512940226?trk=ad_library_ad_preview_content_image', '/ad-library/detail/512940226', '/ad-library/detail/512940226']",Nike,True,all-time
793,Make your move with Goldman Sachs Advisor Solutions,Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D5610AQE9-GYrUF4oKQ/image-shrink_1280/image-shrink_1280/0/1726165817957/2024_GSAS_Awareness_LearnMore_English__Static__NAjpg?e=1746878400&v=beta&t=R9iZH7hIB69Q94un2bSD27AHnQMPIZm_Q8KcAlmDLhY']",Active,/ad-library/detail/512940226?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/512940226?trk=ad_library_ad_preview_content_image', '/ad-library/detail/512940226', '/ad-library/detail/512940226']",Nike,True,all-time
794,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
795,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
796,Connect with our Goldman Sachs Advisor Solutions team,Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D5610AQFzjI92R2eWYw/videocover-high/videocover-high/0/1726188282667/GSAS_LinkedIn_Access_P2mp4?e=1746878400&v=beta&t=rTseoNqy5gXB_9j6sCQhTxe-ZoOOH8pqC4yR-d1nZKQ']",Active,/ad-library/detail/512915676,"['/ad-library/detail/512915676', '/ad-library/detail/512915676', '/ad-library/detail/512915676']",Nike,True,all-time
797,Connect with our Goldman Sachs Advisor Solutions team,Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D5610AQFzjI92R2eWYw/videocover-high/videocover-high/0/1726188282667/GSAS_LinkedIn_Access_P2mp4?e=1746878400&v=beta&t=rTseoNqy5gXB_9j6sCQhTxe-ZoOOH8pqC4yR-d1nZKQ']",Active,/ad-library/detail/512915676,"['/ad-library/detail/512915676', '/ad-library/detail/512915676', '/ad-library/detail/512915676']",Nike,True,all-time
798,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
799,Connect with our Goldman Sachs Advisor Solutions team,Connect with our Goldman Sachs Advisor Solutions team,No image found,[],Active,No link found,[],Nike,,all-time
800,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513397536,"['/ad-library/detail/513397536', '/ad-library/detail/513397536', '/ad-library/detail/513397536']",Nike,True,all-time
801,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513397536,"['/ad-library/detail/513397536', '/ad-library/detail/513397536', '/ad-library/detail/513397536']",Nike,True,all-time
802,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
803,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
804,Connect with our Goldman Sachs Advisor Solutions team,Promoted,No image found,[],Active,/ad-library/detail/513431986,"['/ad-library/detail/513431986', '/ad-library/detail/513431986', '/ad-library/detail/513431986']",Nike,True,all-time
805,Connect with our Goldman Sachs Advisor Solutions team,Promoted,No image found,[],Active,/ad-library/detail/513431986,"['/ad-library/detail/513431986', '/ad-library/detail/513431986', '/ad-library/detail/513431986']",Nike,True,all-time
806,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
807,Connect with our Goldman Sachs Advisor Solutions team,Connect with our Goldman Sachs Advisor Solutions team,No image found,[],Active,No link found,[],Nike,,all-time
808,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513396546,"['/ad-library/detail/513396546', '/ad-library/detail/513396546', '/ad-library/detail/513396546']",Nike,True,all-time
809,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513396546,"['/ad-library/detail/513396546', '/ad-library/detail/513396546', '/ad-library/detail/513396546']",Nike,True,all-time
810,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
811,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
812,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513397986?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/513397986?trk=ad_library_ad_preview_content_image', '/ad-library/detail/513397986', '/ad-library/detail/513397986']",Nike,True,all-time
813,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513397986?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/513397986?trk=ad_library_ad_preview_content_image', '/ad-library/detail/513397986', '/ad-library/detail/513397986']",Nike,True,all-time
814,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
815,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
816,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513432436?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/513432436?trk=ad_library_ad_preview_content_image', '/ad-library/detail/513432436', '/ad-library/detail/513432436']",Nike,True,all-time
817,Make your move with Goldman Sachs Advisor Solutions,Promoted,No image found,[],Active,/ad-library/detail/513432436?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/513432436?trk=ad_library_ad_preview_content_image', '/ad-library/detail/513432436', '/ad-library/detail/513432436']",Nike,True,all-time
818,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
819,Make your move with Goldman Sachs Advisor Solutions,Make your move with Goldman Sachs Advisor Solutions,No image found,[],Active,No link found,[],Nike,,all-time
820,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/505432493,"['/ad-library/detail/505432493', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493', '/ad-library/detail/505432493']",Nike,True,all-time
821,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/505432493,"['/ad-library/detail/505432493', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/505432493?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/505432493', '/ad-library/detail/505432493']",Nike,True,all-time
822,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,all-time
