container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
839,L'IA révolutionne les pratiques RH,Promoted,No image found,[],Active,/ad-library/detail/667346104?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667346104?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667346104', '/ad-library/detail/667346104']",Apple,True,last-30-days
840,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
841,L'IA révolutionne les pratiques RH,L'IA révolutionne les pratiques RH,No image found,[],Active,No link found,[],Apple,,last-30-days
842,Get the knowledge and tools to enhance security management,Promoted,No image found,[],Active,/ad-library/detail/687242116?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687242116?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687242116', '/ad-library/detail/687242116']",Apple,True,last-30-days
843,Get the knowledge and tools to enhance security management,Promoted,No image found,[],Active,/ad-library/detail/687242116?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687242116?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687242116', '/ad-library/detail/687242116']",Apple,True,last-30-days
844,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
845,Get the knowledge and tools to enhance security management,Join our free on-demand webinar and get the knowledge and tools to enhance security management,No image found,[],Active,No link found,[],Apple,,last-30-days
846,Join our free on-demand webinar and get the knowledge and tools to enhance security management,Join our free on-demand webinar and get the knowledge and tools to enhance security management,No image found,[],Active,No link found,[],Apple,,last-30-days
847,L'IA révolutionne les pratiques RH,Promoted,No image found,[],Active,/ad-library/detail/667327264?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667327264?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667327264', '/ad-library/detail/667327264']",Apple,True,last-30-days
848,L'IA révolutionne les pratiques RH,Promoted,No image found,[],Active,/ad-library/detail/667327264?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667327264?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667327264', '/ad-library/detail/667327264']",Apple,True,last-30-days
849,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
850,L'IA révolutionne les pratiques RH,L'IA révolutionne les pratiques RH,No image found,[],Active,No link found,[],Apple,,last-30-days
851,Unify access controls and secure access with Microsoft Entra,Promoted,No image found,[],Active,/ad-library/detail/687233136?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687233136?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687233136', '/ad-library/detail/687233136']",Apple,True,last-30-days
852,Unify access controls and secure access with Microsoft Entra,Promoted,No image found,[],Active,/ad-library/detail/687233136?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687233136?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687233136', '/ad-library/detail/687233136']",Apple,True,last-30-days
853,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
854,Unify access controls and secure access with Microsoft Entra,Join our free on-demand webinar and discover how to unify access controls and secure access with Microsoft Entra,No image found,[],Active,No link found,[],Apple,,last-30-days
855,Join our free on-demand webinar and discover how to unify access controls and secure access with Microsoft Entra,Join our free on-demand webinar and discover how to unify access controls and secure access with Microsoft Entra,No image found,[],Active,No link found,[],Apple,,last-30-days
856,Unify identity and network security for least-privilege access,Promoted,https://media.licdn.com/dms/image/v2/D4E10AQFKPXdDKPxoHQ/image-shrink_1280/B4EZaLmicZHMAM-/0/1746098858383?e=2147483647&v=beta&t=8TdVx13g9U-I3uC5MX7PD4_OwISNaFNN3FCza-P_eTQ,['https://media.licdn.com/dms/image/v2/D4E10AQFKPXdDKPxoHQ/image-shrink_1280/B4EZaLmicZHMAM-/0/1746098858383?e=2147483647&v=beta&t=8TdVx13g9U-I3uC5MX7PD4_OwISNaFNN3FCza-P_eTQ'],Active,/ad-library/detail/687233146?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687233146?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687233146', '/ad-library/detail/687233146']",Apple,True,last-30-days
857,Unify identity and network security for least-privilege access,Promoted,https://media.licdn.com/dms/image/v2/D4E10AQFKPXdDKPxoHQ/image-shrink_1280/B4EZaLmicZHMAM-/0/1746098858383?e=2147483647&v=beta&t=8TdVx13g9U-I3uC5MX7PD4_OwISNaFNN3FCza-P_eTQ,['https://media.licdn.com/dms/image/v2/D4E10AQFKPXdDKPxoHQ/image-shrink_1280/B4EZaLmicZHMAM-/0/1746098858383?e=2147483647&v=beta&t=8TdVx13g9U-I3uC5MX7PD4_OwISNaFNN3FCza-P_eTQ'],Active,/ad-library/detail/687233146?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687233146?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687233146', '/ad-library/detail/687233146']",Apple,True,last-30-days
858,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
859,Unify identity and network security for least-privilege access,Join this free on-demand webinar and learn how to unify identity and network security for least-privilege access,No image found,[],Active,No link found,[],Apple,,last-30-days
860,Join this free on-demand webinar and learn how to unify identity and network security for least-privilege access,Join this free on-demand webinar and learn how to unify identity and network security for least-privilege access,No image found,[],Active,No link found,[],Apple,,last-30-days
