container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
509,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQHcExJU56pBvw/videocover-high/B56ZYPaupvGsCQ-/0/1744015389741/INEN_NILEVALLEY1_ANDIS_11AR_6s_HXVIFM_OFHL_FRNGE_NA_NA_GIPH_LINKIFmp4?e=2147483647&v=beta&t=K80Nry4ZX02flj3kSjsCAlupGp1fazHP7Oswx6fe45w']",Active,/ad-library/detail/668350906,"['/ad-library/detail/668350906', '/ad-library/detail/668350906', '/ad-library/detail/668350906', '/ad-library/detail/668350906', '/ad-library/detail/668350906']",Apple,True,all-time
510,Promoted,Promoted,No image found,[],Active,/ad-library/detail/668350906,"['/ad-library/detail/668350906', '/ad-library/detail/668350906']",Apple,True,all-time
511,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
512,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQHcExJU56pBvw/videocover-high/B56ZYPaupvGsCQ-/0/1744015389741/INEN_NILEVALLEY1_ANDIS_11AR_6s_HXVIFM_OFHL_FRNGE_NA_NA_GIPH_LINKIFmp4?e=2147483647&v=beta&t=K80Nry4ZX02flj3kSjsCAlupGp1fazHP7Oswx6fe45w']",Active,/ad-library/detail/668350906,"['/ad-library/detail/668350906', '/ad-library/detail/668350906', '/ad-library/detail/668350906']",Apple,True,all-time
513,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
514,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.","Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",No image found,[],Active,No link found,[],Apple,,all-time
515,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640477374?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640477374?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640477374', '/ad-library/detail/640477374']",Apple,True,all-time
516,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640477374?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640477374?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640477374', '/ad-library/detail/640477374']",Apple,True,all-time
517,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
518,Échangez et économisez.,Échangez et économisez.,No image found,[],Active,No link found,[],Apple,,all-time
519,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",Promoted,No image found,[],Active,/ad-library/detail/668342386,"['/ad-library/detail/668342386', '/ad-library/detail/668342386', '/ad-library/detail/668342386']",Apple,True,all-time
520,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",Promoted,No image found,[],Active,/ad-library/detail/668342386,"['/ad-library/detail/668342386', '/ad-library/detail/668342386', '/ad-library/detail/668342386']",Apple,True,all-time
521,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
522,"Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.","Save on a new iPhone 16 Pro, iPhone 16, or iPhone 16e by trading in your current iPhone.",No image found,[],Active,No link found,[],Apple,,all-time
523,Shop and pay monthly on iPhone 16.,Promoted,No image found,[],Active,/ad-library/detail/668326306,"['/ad-library/detail/668326306', '/ad-library/detail/668326306', '/ad-library/detail/668326306']",Apple,True,all-time
524,Shop and pay monthly on iPhone 16.,Promoted,No image found,[],Active,/ad-library/detail/668326306,"['/ad-library/detail/668326306', '/ad-library/detail/668326306', '/ad-library/detail/668326306']",Apple,True,all-time
525,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
526,Shop and pay monthly on iPhone 16.,Shop and pay monthly on iPhone 16.,No image found,[],Active,No link found,[],Apple,,all-time
